許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-300895,東京美装北海道　株式会社,東京美装北海道　株式会社　岩見沢出張所,北海道岩見沢市3条西4丁目　ポルタ駐車場,0126-22-7788,,,
派01-300896,株式会社　ニッケン,株式会社　ニッケン　本店,北海道苫小牧市元中野町2丁目2番13号2階,0144-31-0783,54人,6件,
派01-300897,株式会社　北営テック,株式会社　北営テック,北海道札幌市白石区菊水一条四丁目1番12-2号,011-598-8100,,,
派01-300898,株式会社　メディアサイエンス,株式会社　メディアサイエンス,北海道札幌市中央区大通東7丁目18番10号,011-221-5761,,,
派01-300901,株式会社　リョウオウサービス,株式会社　リョウオウサービス,北海道苫小牧市王子町二丁目1番1号　王子製紙（株）苫小牧工場構内,0144-32-6327,7人,,
派01-300902,有限会社　エイチ・ジー・シー別海振興,有限会社　エイチ・ジー・シー別海振興,北海道野付郡別海町別海新栄町9番地,0153-75-0760,,,
派01-300903,シオンテクノス　株式会社,シオンテクノス　株式会社,北海道札幌市東区北二十四条東4丁目1番1号　シオンN24ビル2階,011-751-8686,,,エアコン修理
派01-300904,クリエイト技研　株式会社,クリエイト技研　株式会社,北海道札幌市白石区東札幌二条五丁目1番25号　リサーチビル3Ｆ,011-818-3885,,,
派01-300905,株式会社　エー・エル・ピー,株式会社　エー・エル・ピー,北海道滝川市流通団地2丁目1番42号,0125-26-0055,,,
派01-300907,株式会社　イオテクノ,株式会社　イオテクノ　開発ルーム,北海道札幌市中央区南9条西5丁目1-5　リバーパーク中島公園303,011-211-0830,,,
派01-300908,株式会社　ホッコン,株式会社　ホッコン,北海道札幌市中央区南1条西7丁目12－5　大通パークサイドビル9階,011-251-0668,,,
派01-300909,株式会社　川村組,株式会社　川村組,北海道河東郡上士幌町字上士幌東二線234番地,01564-2-3131,1人,1件,土木工事業
派01-300910,白鳥建設工業　株式会社,白鳥建設工業　株式会社,北海道留萌市塩見町332番地の10,0164-43-5511,,,
派01-300911,ＨＲＳ　株式会社,ＨＲＳ　株式会社,北海道小樽市勝納町8番39号,0134-22-7710,,,
派01-300912,ＳＯＣ　株式会社,ＳＯＣ　株式会社,北海道札幌市厚別区下野幌テクノパーク一丁目1番12号,011-807-1100,,,
派01-300913,札商美装興業　株式会社,札商美装興業　株式会社,北海道札幌市中央区南4条西10丁目1005番地1　ﾌｸﾔﾏﾋﾞﾙ4階,011-552-0731,6人,2件,
派01-300914,ユニティ　株式会社,ユニティ　株式会社,北海道札幌市中央区北六条西二十二丁目2番3号,011-621-3993,,,
派01-300915,川元建設　株式会社,川元建設　株式会社,北海道函館市美原四丁目5番10号,0138-46-5533,,,
派01-300916,株式会社　ソルテック,株式会社　ソルテック,北海道札幌市中央区北四条西六丁目1番地1　毎日札幌会館7階,011-211-4301,,,
派01-300917,株式会社　パワーテック,株式会社　パワーテック,北海道砂川市宮城の沢8番地3,0125-52-5375,10人,2件,
派01-300918,株式会社　函館小型運送,株式会社　函館小型運送,北海道函館市西桔梗町589番地,0138-49-5131,7人,7件,
派01-300920,日東美装興業　株式会社,日東美装興業　株式会社,北海道帯広市西三条南十五丁目11番地,0155-24-2700,2人,1件,
派01-300921,株式会社　システムサポートサーブ,株式会社　システムサポートサーブ,北海道札幌市豊平区平岸二条六丁目1番14号　三慶ビル9階,011-823-0724,,,
派01-300922,ＨＤＩ株式会社,ＨＤＩ株式会社,北海道苫小牧市見山町四丁目5番20号,0144-84-1251,4人,1件,
派01-300923,株式会社　ウィルシステム,株式会社　ウィルシステム,北海道札幌市中央区南一条西七丁目12番地6　パークアベニュービル9F,011-596-9989,5人,2件,ソフトウェア開発
派01-300925,有限会社　Ａｉシステム,有限会社　Ａｉシステム,北海道登別市中央町五丁目13番地1,0143-85-0278,2人,1件,
派01-300926,株式会社　一寸房,株式会社　一寸房,北海道札幌市中央区北2条西2丁目41番地　札幌2・2ビル9Ｆ,011-215-0127,15人,11件,建築設計、CG・VR
派01-300927,株式会社　徳川システム,株式会社　徳川システム,北海道札幌市厚別区大谷地東三丁目2番1-605号,011-896-5835,,,
派01-300928,株式会社　すずき,株式会社　すずき　根室本店,北海道根室市大正町一丁目32番3,0153-23-4567,,,
派01-300929,株式会社　リンクパートナーズ,株式会社　リンクパートナーズ,北海道札幌市中央区南12条西15丁目2-16　プレスタール山鼻102号室,011-206-1786,28人,3件,社会福祉専門職業、一般事務
派01-300930,共和総業　株式会社,共和総業　株式会社,北海道札幌市中央区南11条西10丁目1－21,011-521-4171,,,
派01-300931,アーク・システム・ソリューションズ　株式会社,アーク・システム・ソリューションズ　株式会社,北海道札幌市中央区北一条西七丁目1番地15,011-207-6460,2人,2件,
派01-300932,株式会社　キャリアネクスト,株式会社　キャリアネクスト,北海道札幌市中央区大通西五丁目1番1号　桂和大通ビル３８、５階,011-223-5851,147人,123件,一般事務業務、情報処理・通信技術者、機械組立の職業
派01-300933,苅部　榮一,スペース・ケイ,北海道札幌市清田区北野6条1丁目4-37　南山ビル1階,011-857-0192,4人,3件,家電販売
派01-300934,株式会社　メイプルシステム,株式会社　メイプルシステム,北海道札幌市中央区大通東2丁目3番1　第36桂和ビル8F,011-208-5070,,,
派01-300935,有限会社　メンテック,有限会社　メンテック,北海道河東郡音更町中鈴蘭南6丁目4番地11,0155-31-7310,,,
派01-300937,株式会社　小笠原組,株式会社　小笠原組,北海道登別市美園町五丁目24番地20,0143-87-1477,,,
派01-300938,株式会社　北開水工コンサルタント,株式会社　北開水工コンサルタント,北海道帯広市東7条南17丁目1番地1,0155-66-8710,,,
派01-300939,株式会社　只石組,株式会社　只石組,北海道旭川市東旭川町旭正362番地,0166-32-4257,4人,3件,一般土木建築工事業
派01-300940,株式会社　弘振電建,株式会社　弘振電建,北海道札幌市白石区菊水四条一丁目4番2号,011-811-6335,2人,2件,
派01-300941,朝日建設　株式会社,朝日建設　株式会社,北海道苫小牧市新開町二丁目1番9号,0144-57-8881,1人,1件,
派01-300942,株式会社　ＨＤＣ,株式会社　ＨＤＣ　本社,北海道札幌市中央区南1条西10丁目2番地　南1条道銀ビル6階,011-261-5502,,,
派01-300943,株式会社　アカシヤビルサービス,株式会社　アカシヤビルサービス,北海道札幌市白石区菊水5条1丁目4番34号,011-812-2827,27人,,
派01-300944,株式会社　アクティブコム,株式会社　アクティブコム,北海道札幌市東区北十三条東十六丁目1番20号　タカオカビル2F,011-784-2250,,,
派01-300946,株式会社 ＳｋｉｌｌＭａｒｋ,株式会社 ＳｋｉｌｌＭａｒｋ,北海道札幌市東区北22条東8丁目2番3号,011-768-8864,,,
派01-300947,株式会社　繁富工務店,株式会社　繁富工務店,北海道札幌市中央区南12条西6丁目1番28号,011-511-3428,,,
派01-300948,株式会社　トラスト,株式会社　トラスト,北海道苫小牧市晴海町43番地3,0144-55-4466,38人,9件,
派01-300949,アイビー・システム　株式会社,アイビー・システム　株式会社,北海道札幌市中央区北三条西三丁目1番地　札幌北三条ビル12F,011-271-7117,,,
派01-300950,株式会社　高橋企画,介護人材派遣　Ｒｅｌｙｏｎ,北海道旭川市一条通十八丁目52-48　ロジェ・エスト１Ｆ,0166-74-8951,24人,13件,
派01-300951,株式会社　明円ソフト開発,株式会社　明円ソフト開発　札幌支店,北海道札幌市中央区南5条西11丁目1287番地4　明円ビル,011-520-8761,9人,4件,
派01-300952,有限会社　日豊工業,有限会社　日豊工業,北海道室蘭市茶津町4番地,0143-24-8191,3人,2件,溶接、製缶
派01-300953,有限会社　北海道人材センター,有限会社　北海道人材センター,北海道帯広市清流西2丁目6番地11,0155-49-6887,,,
派01-300954,株式会社　ＡＤインタラクティブ,株式会社　ＡＤインタラクティブ,北海道札幌市中央区大通西5丁目11番地　大五ビル2階 ,011-210-9200,21人,4件,
派01-300955,士幌交通　株式会社　,士幌交通　株式会社,北海道河東郡士幌町字士幌西一線167番地8,01564-5-2590,2人,1件,フォークリフト作業
派01-300956,ＮＯＲＴＨ　ＳＴＥＥＬ　株式会社,ＮＯＲＴＨ　ＳＴＥＥＬ　株式会社,北海道札幌市中央区南七条西四丁目422番14-507号,011-200-9661,,,
派01-300957,株式会社　アグリプラン,株式会社　アグリプラン,北海道富良野市字扇山1945番地,0167-22-1624,10人,1件,
派01-300958,株式会社　シーエーブイ,株式会社　シーエーブイ,北海道札幌市白石区東札幌4条1丁目2番20号　安全ビル3階,011-799-4685,,,
派01-300959,札幌観光バス　株式会社,札幌観光バス　株式会社,北海道札幌市清田区美しが丘一条九丁目1番1号,011-881-2431,,,
派01-300961,株式会社　キャリアパートナー,株式会社　キャリアパートナー,北海道札幌市中央区北1条西3丁目3－41　マルイト時計台前ビル5階,011-200-0108,,,
派01-300962,株式会社　トーホーテクノス,株式会社　トーホーテクノス,北海道札幌市東区本町一条一丁目1番15号　Ｔ・Ｋビル,011-786-3220,,,
派01-300963,株式会社　エムアンドエース,株式会社　エムアンドエース,北海道札幌市東区北八条東三丁目1番1号　宮村ビル5階,011-721-1100,,,
派01-300964,株式会社　ビツグベン,株式会社　ビッグベン,北海道札幌市北区太平五条一丁目5番5号,011-775-5730,4人,1件,物流
派01-300965,株式会社　アルシス,株式会社　アルシス,北海道札幌市中央区大通西八丁目2番地38　ストーク大通ビル6階,011-261-2661,,,
派01-300966,株式会社ほくやく,株式会社　ほくやく,北海道札幌市中央区北6条西16丁目1番地5　ほくたけビル2、3階,011-611-0989,4人,91件,
派01-300969,株式会社　サン研ライフサービス,株式会社　サン研ライフサービス,北海道岩見沢市岡山町129番地26,0126-25-2629,0人,0件,
派01-300970,渡部工業　株式会社,渡部工業　株式会社,北海道苫小牧市新開町三丁目9番4号,0144-57-5252,1人,1件,
派01-300973,株式会社　眞正,株式会社　眞正,北海道函館市本通4丁目17番44号　ブロッサム21　207号,0138-83-2401,2人,6件,施工管理、工事用測量
派01-300974,株式会社　北海道グリーンパートナー,株式会社　北海道グリーンパートナー　道東営業所,北海道中川郡豊頃町茂岩本町72番地,015-579-5582,,,
派01-300975,株式会社　盛永組,株式会社　盛永組,北海道旭川市4条通5丁目左10号,0166-22-0151,0人,0件,
派01-300976,株式会社　ニュー・フロンティア,株式会社　ニュー・フロンティア,北海道札幌市北区麻生町三丁目10番10号　光道力ビル2階,011-747-0800,20人,3件,電話応接事務員
派01-300977,株式会社　ハミングバード・ＩＴ,株式会社　ハミングバード・ＩＴ,北海道札幌市中央区北2条西1丁目10番地　ピア2・1　504号,011-211-1793,,,
